0,1,2,3,4
0.81666535,0.86410284,0.3053464,-0.19614106,-0.53410834
-0.68473214,0.103893,-1.0675373,-0.17209738,-0.28360352
0.7292383,-0.18100812,0.360814,1.5698677,-0.2098861
0.68489015,-0.16925135,0.34000024,0.73018205,-0.66727847
1.0007997,0.30668718,0.8073137,0.5341996,-0.67656887
-0.68473214,0.103893,-1.0675373,-0.17209738,-0.28360352
-0.4874012,0.21643458,-0.9390479,-0.15543634,-0.25406498
-1.0404804,-0.11827865,-1.2430863,-0.4426753,-0.3614881
0.49701282,0.12731081,-0.1291352,1.0451165,-0.16676962
0.66548413,0.66100305,0.14054595,-0.18970054,-0.686033
0.26080313,-0.2033471,-0.29697782,0.8261749,-0.63359445
0.6522642,0.15380517,0.08548975,1.28813,-0.0031668246
1.0007997,0.30668718,0.8073137,0.5341996,-0.67656887
0.6570343,-3.2871776,-0.43497202,-2.1819525,-0.52936316
0.68489015,-0.16925135,0.34000024,0.73018205,-0.66727847
0.7292383,-0.18100812,0.360814,1.5698677,-0.2098861
0.36117744,0.037656758,-0.28464934,0.86330044,-0.36490056
-1.7030485,-0.92048347,-1.4814652,-0.8850745,-0.37290418
0.66548413,0.66100305,0.14054595,-0.18970054,-0.686033
0.66548413,0.66100305,0.14054595,-0.18970054,-0.686033
0.4425043,0.41239583,-0.3203521,0.7042856,-0.08665979
0.6570343,-3.2871776,-0.43497202,-2.1819525,-0.52936316
0.81666535,0.86410284,0.3053464,-0.19614106,-0.53410834
0.4594535,-0.296839,0.021734202,1.1799195,-0.5519165
0.6570343,-3.2871776,-0.43497202,-2.1819525,-0.52936316
0.66548413,0.66100305,0.14054595,-0.18970054,-0.686033
-2.0388794,-1.6137551,-1.1552926,-0.65311015,-1.1270928
0.6522642,0.15380517,0.08548975,1.28813,-0.0031668246
0.5631542,-0.25231558,0.15207075,1.329809,-0.4204458
0.68489015,-0.16925135,0.34000024,0.73018205,-0.66727847
-0.078066766,-0.46170568,-0.23763411,0.7824428,-0.61643183
-1.0999415,-0.99219126,-0.74965835,0.013679862,-1.0746276
0.66548413,0.66100305,0.14054595,-0.18970054,-0.686033
0.36117744,0.037656758,-0.28464934,0.86330044,-0.36490056
0.7292383,-0.18100812,0.360814,1.5698677,-0.2098861
0.9209976,0.59000355,0.5419372,0.31969833,-0.47229385
0.7292383,-0.18100812,0.360814,1.5698677,-0.2098861
0.6522642,0.15380517,0.08548975,1.28813,-0.0031668246
0.66548413,0.66100305,0.14054595,-0.18970054,-0.686033
0.6522642,0.15380517,0.08548975,1.28813,-0.0031668246
0.6522642,0.15380517,0.08548975,1.28813,-0.0031668246
